task_id,llm,prompt_type,baseline_passed,mutation_score,coverage,test_smells,functions_tested,total_functions,assert_types,edge_case_found,tqs,mutants_killed,mutants_survived,total_mutants
1,CodeGemma,few_shot,True,1.0,1.0,magic_number,1,1,assertEqual,True,5.0,,,
1,CodeGemma,zero_shot,True,1.0,1.0,magic_number,1,1,assertEqual,True,5.0,,,
1,Gemma,zero_shot,True,1.0,1.0,magic_number,1,1,assertEqual,True,5.0,,,
2,CodeGemma,few_shot,True,0.222,0.7143,redundant_assertion;magic_number,1,1,assertEqual,True,4.2143,,,
2,CodeGemma,zero_shot,True,0.926,1.0,redundant_assertion;magic_number,1,1,assertEqual,True,4.5,,,
2,CodeLLaMA,few_shot,True,0.907,1.0,redundant_assertion;magic_number,1,1,assertEqual,True,4.5,,,
2,Gemma,cot,True,0.926,1.0,redundant_assertion;magic_number,1,1,assertEqual,True,4.5,,,
2,WizardCoder,few_shot,True,0.963,1.0,redundant_assertion;magic_number,1,1,assertEqual,True,4.5,,,
2,WizardCoder,zero_shot,True,0.0,1.0,magic_number,1,1,,True,2.5,,,
3,CodeGemma,cot,True,0.87,1.0,assertion_roulette,1,1,assertTrue;assertFalse,True,6.0,,,
3,CodeGemma,few_shot,True,0.833,1.0,assertion_roulette,1,1,assertTrue;assertFalse,False,4.5,,,
3,CodeGemma,zero_shot,True,0.833,1.0,assertion_roulette,1,1,assertTrue;assertFalse,False,4.5,,,
3,Gemma,cot,True,0.824,1.0,assertion_roulette,1,1,assertTrue;assertFalse,True,6.0,,,
3,Gemma,few_shot,True,0.852,1.0,assertion_roulette,1,1,assertTrue;assertFalse,False,4.5,,,
3,Gemma,zero_shot,True,0.88,1.0,redundant_assertion,1,1,assertEqual,True,5.0,,,
3,LLaMA3,few_shot,True,0.75,1.0,assertion_roulette,1,1,assertTrue;assertFalse,False,4.5,,,
4,CodeGemma,zero_shot,True,0.917,1.0,magic_number,1,1,assertEqual,True,5.0,,,
4,LLaMA3,few_shot,True,0.917,1.0,magic_number,1,1,assertEqual,True,5.0,,,
4,LLaMA3,zero_shot,True,0.917,1.0,magic_number,1,1,assertEqual,True,5.0,,,
5,CodeGemma,few_shot,True,1.0,1.0,redundant_assertion;magic_number,1,1,assertEqual,True,4.5,,,
5,Gemma,zero_shot,True,1.0,1.0,redundant_assertion;magic_number,1,1,assertEqual,True,4.5,,,
5,WizardCoder,zero_shot,True,1.0,1.0,redundant_assertion;magic_number,1,1,assertEqual,False,3.0,,,
6,CodeGemma,zero_shot,True,0.92,1.0,,2,2,assertEqual,True,5.5,,,
6,CodeLLaMA,zero_shot,True,0.0,1.0,,2,2,,True,3.0,,,
7,WizardCoder,zero_shot,True,0.826,1.0,,1,1,,False,1.5,,,
8,CodeLLaMA,few_shot,True,0.721,1.0,assertion_roulette;magic_number,1,1,assertFalse;assertTrue,True,5.5,,,
8,CodeLLaMA,zero_shot,True,0.0,1.0,magic_number,1,1,,True,2.5,,,
9,WizardCoder,zero_shot,True,0.846,1.0,redundant_assertion;magic_number,1,1,assertEqual;assertLess,True,5.5,,,
10,CodeGemma,zero_shot,True,1.0,1.0,magic_number,1,1,assertEqual,True,5.0,,,
10,CodeLLaMA,few_shot,True,1.0,1.0,magic_number,1,1,assertEqual,True,5.0,,,
10,LLaMA3,few_shot,True,1.0,1.0,assertion_roulette;magic_number,1,1,assertEqual;assertRaises,True,5.5,,,
11,Gemma,zero_shot,True,1.0,1.0,,1,1,assertEqual,True,5.5,,,
11,LLaMA3,cot,True,1.0,1.0,assertion_roulette;magic_number,1,1,assertRaises;assertEqual,True,5.5,,,
11,WizardCoder,zero_shot,True,0.0,1.0,,1,1,,True,3.0,,,
12,Gemma,zero_shot,True,0.923,1.0,assertion_roulette,1,1,assertIsNone;assertEqual,True,6.0,,,
12,LLaMA3,zero_shot,True,0.923,1.0,assertion_roulette,1,1,assertIsNone;assertRaises;assertEqual,True,7.0,,,
14,CodeGemma,zero_shot,True,1.0,1.0,,1,1,assertEqual,True,5.5,,,
14,CodeLLaMA,few_shot,True,1.0,1.0,,1,1,,False,1.5,,,
14,CodeLLaMA,zero_shot,True,0.0,1.0,,1,1,,False,1.5,,,
14,LLaMA3,few_shot,True,1.0,1.0,,1,1,assertEqual,True,5.5,,,
14,WizardCoder,zero_shot,True,1.0,1.0,,1,1,,False,1.5,,,
15,CodeGemma,few_shot,True,1.0,1.0,,1,1,assertEqual,True,5.5,,,
15,CodeGemma,zero_shot,True,1.0,1.0,,1,1,assertEqual,True,5.5,,,
15,CodeLLaMA,cot,True,1.0,1.0,,1,1,assertEqual,True,5.5,,,
15,CodeLLaMA,zero_shot,True,1.0,1.0,,1,1,assertEqual,True,5.5,,,
16,CodeGemma,cot,True,0.919,1.0,,1,1,assertEqual,True,5.5,,,
16,CodeGemma,few_shot,True,0.929,1.0,,1,1,assertEqual,True,5.5,,,
17,CodeLLaMA,cot,True,0.979,1.0,redundant_assertion;magic_number,1,1,assertEqual,True,4.5,,,
17,CodeLLaMA,few_shot,True,0.979,1.0,,1,1,,False,1.5,,,
22,CodeLLaMA,few_shot,True,1.0,1.0,magic_number,1,1,assertEqual,True,5.0,,,
22,CodeLLaMA,zero_shot,True,1.0,1.0,magic_number,1,1,assertEqual,True,5.0,,,
